"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x980303847397773312",2018-04-01 04:40:25,"x729716457802629120","VictorConservat","RT @KayaJones: Come after me David Hogg. I was closer to a shooting than you. Come after a celebrity survivor of gun violence. I fully supp…","Twitter for iPhone",,,,FALSE,TRUE,0,402,,,,,,,,,,,,,,"x32626129","KayaJones","en",,,"x980291776526237697","Come after me David Hogg. I was closer to a shooting than you. Come after a celebrity survivor of gun violence. I fully support the 2nd Amendment. Want to attack someone closer to the reality you claim. Look no further. Let’s go you entitled young one.",,,,,,,,,
"x980303841701724161",2018-04-01 04:40:23,"x1281392407","chispasos9","RT @Condor_Law: Yes!!! #2A #2ADefenders #Winning 
This new bill will not only authorize the arming of Kansas school staff, it will hold sch…","Twitter Web Client",,,,FALSE,TRUE,0,7,"2A 2ADefenders Winning",,,,,,,,,,,,,"x406483952","Condor_Law","en",,,"x980300396089417728","Yes!!! #2A #2ADefenders #Winning 
This new bill will not only authorize the arming of Kansas school staff, it will hold schools responsible if a shooting were to occur and the teachers and staff present were not allowed to be armed!
@DLoesch @NRA 
https://t.co/votr29a2IF",,,,,,,,,
"x980303841680871424",2018-04-01 04:40:23,"x884155109902622720","o_stone","RT @NevadaJack2: Nearly 750 hours of video and 2,000 calls to 911 in Vegas shooting. 

Almost all of it remains unseen and unheard https://…","Twitter for Android",,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,"x835676806455832576","NevadaJack2","en",,,"x980300699903782912","Nearly 750 hours of video and 2,000 calls to 911 in Vegas shooting. 

Almost all of it remains unseen and unheard https://t.co/RxGpxD1UKL",,,,,,,,,
"x980303841005465600",2018-04-01 04:40:23,"x587754383","GeorgeSalazar6","RT @NBCNews: LIVE: Rally held in Sacramento after fatal police shooting of Stephon Clark. https://t.co/pTj97bifs9","Twitter for Android",,,,FALSE,TRUE,0,669,,,"periscope.tv/w/1ynKOANVBokJR","https://t.co/pTj97bifs9","https://www.periscope.tv/w/1ynKOANVBokJR",,,,,,,,,"x14173315","NBCNews","en",,,"x980166465612668934","LIVE: Rally held in Sacramento after fatal police shooting of Stephon Clark. https://t.co/pTj97bifs9",,,,,,,,,
"x980303836031176704",2018-04-01 04:40:22,"x484299199","bridgetahrens","RT @RealSaavedra: .@MaxFawcett, a Canadian government official with @YourAlberta who just bullied school shooting survivior @KyleKashuv, cl…","Twitter for iPhone",,,,FALSE,TRUE,0,517,,,,,,,,,,,,,,"x812135885328236551 19657809 34747812 862493306382626818","RealSaavedra maxfawcett YourAlberta KyleKashuv","en",,,"x980184124655747072",".@MaxFawcett, a Canadian government official with @YourAlberta who just bullied school shooting survivior @KyleKashuv, claims he didn't know who he was.

Oh really?

He retweeted tweets days ago that stated Kyle was a survivor of the Parkland shooting. https://t.co/uggG4wDJad",,,,,,,,,
"x980303831539044352",2018-04-01 04:40:21,"x3018109789","FrancisWegner","RT @carlzimmer: At least the Internet never forgets. 

June 2017: https://t.co/4SLLDSbTkH

Today:
https://t.co/uFis5ldwTw https://t.co/xT0n…","Twitter Web Client",,,,FALSE,TRUE,0,34,,,"thedailybeast.com/nugent-after-b… thedailybeast.com/ted-nugent-par…","https://t.co/4SLLDSbTkH https://t.co/uFis5ldwTw","https://www.thedailybeast.com/nugent-after-baseball-shooting-ill-stop-hateful-rhetoric https://www.thedailybeast.com/ted-nugent-parklands-student-activists-are-soulless-liars",,,,,,,,,"x14085070","carlzimmer","en",,,"x980200135593426944","At least the Internet never forgets. 

June 2017: https://t.co/4SLLDSbTkH

Today:
https://t.co/uFis5ldwTw https://t.co/xT0niE7otw",,,,,,,,,
"x980303829127311360",2018-04-01 04:40:20,"x3915931048","sharkdavil","@FloydFoo500 @KyleKashuv @Eddie7757 D Hogg's cell phone videos from within the classroom went on CNN right after the shooting. NOBODY else's did. Only his. Why? There were hundreds of other kids in classrooms under lockdown. Hundreds of other kids walking out. The FBI confiscated them all. Except his.","Twitter for iPhone","x980300522359050241","x2174588080","FloydFoo500",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2174588080 862493306382626818 3510546680","FloydFoo500 KyleKashuv Eddie7757","en",,,,,,,,,,,,,
"x980303814979923974",2018-04-01 04:40:17,"x914596005475217408","mn_malone","RT @LauraLoomer: Nearly 750 hours of video and 2,000 calls to 911 in Vegas shooting. Almost all of it remains unseen and unheard. #LasVegas…","Twitter Web Client",,,,FALSE,TRUE,0,292,,,,,,,,,,,,,,"x537709549","LauraLoomer","en",,,"x980279949562122240","Nearly 750 hours of video and 2,000 calls to 911 in Vegas shooting. Almost all of it remains unseen and unheard. #LasVegasShooting 

https://t.co/ihIypbeJ1k",,,,,,,,,
"x980303810945011713",2018-04-01 04:40:16,"x2377010294","SeanOCarolan","RT @ShaziyaLM: @nyc2pnw @SenSanders and shooting at people PRAYING is hardly a call for defence, but nice try.. https://t.co/AjHFAHa1e0","Twitter for Android",,,,FALSE,TRUE,0,5,,,"twitter.com/amaninthesun/s…","https://t.co/AjHFAHa1e0","https://twitter.com/amaninthesun/status/979807353263489025?s=21",,,,,,,,,"x3078775915 3193368491 29442313","ShaziyaLM nyc2pnw SenSanders","en",,,"x980194559329173505","@nyc2pnw @SenSanders and shooting at people PRAYING is hardly a call for defence, but nice try.. https://t.co/AjHFAHa1e0",,,,,,,,,
"x980303803462311937",2018-04-01 04:40:14,"x956324517923643392","srush13215","RT @Brasilmagic: Horrible  https://t.co/XBLE7s4ggC","Twitter for iPhone",,,,FALSE,TRUE,0,7,,,"nytimes.com/2017/12/09/us/…","https://t.co/XBLE7s4ggC","https://www.nytimes.com/2017/12/09/us/police-shooting-video-arizona.html",,,,,,,,,"x21833728","Brasilmagic","en",,,"x980302029678669824","Horrible  https://t.co/XBLE7s4ggC",,,,,,,,,
