word,occurrence
attack,accusation
attack,accused
attack,admitted
attack,affect
attack,afghan
attack,african
attack,aimed
attack,although
attack,american
attack,announced
attack,anti
attack,apparently
attack,armed
attack,around
attack,arrested
attack,attracted
attack,base
attack,based
attack,began
attack,berlin
attack,blamed
attack,bombing
attack,bring
attack,britain
attack,british
attack,bus
attack,came
attack,carried
attack,caused
attack,charged
attack,charges
attack,christians
attack,church
attack,city
attack,claimed
attack,clark
attack,collapsed
attack,comes
attack,consistent
attack,contemplating
attack,could
attack,countries
attack,created
attack,criminal
attack,day
attack,declined
attack,disney
attack,dogs
attack,england
attack,english
attack,expected
attack,facebook
attack,faced
attack,father
attack,feb
attack,fled
attack,foreperson
attack,former
attack,gay
attack,government
attack,grid
attack,group
attack,hague
attack,happen
attack,happened
attack,helicopters
attack,helped
attack,high
attack,highlighted
attack,highly
attack,hit
attack,hoffmann
attack,hudaydah
attack,husband
attack,impact
attack,implemented
attack,improperly
attack,included
attack,including
attack,india
attack,indian
attack,karachi
attack,killed
attack,knew
attack,last
attack,led
attack,like
attack,likely
attack,links
attack,little
attack,location
attack,locations
attack,lying
attack,made
attack,malaysian
attack,may
attack,meant
attack,might
attack,miles
attack,military
attack,minority
attack,moscow
attack,mumbai
attack,near
attack,next
attack,nigerian
attack,nightclub
attack,nothing
attack,occured
attack,occurred
attack,opposition
attack,orlando
attack,pakistan
attack,paris
attack,party
attack,peacekeepers
attack,people
attack,phillip
attack,piece
attack,plausible
attack,pleaded
attack,plunged
attack,president
attack,presidential
attack,prompting
attack,prosecutors
attack,provincial
attack,pulse
attack,rare
attack,relatively
attack,releasing
attack,religious
attack,repulsed
attack,retaliated
attack,rival
attack,russia
attack,russian
attack,said
attack,salisbury
attack,san
attack,saudi
attack,say
attack,school
attack,sent
attack,sergei
attack,shooter
attack,show
attack,since
attack,sites
attack,skripal
attack,skripals
attack,slowly
attack,spy
attack,started
attack,still
attack,stroke
attack,strongest
attack,stunned
attack,suspect
attack,sydney
attack,tagbara
attack,taken
attack,taliban
attack,tanker
attack,telling
attack,test
attack,theater
attack,threatens
attack,times
attack,timing
attack,told
attack,took
attack,united
attack,using
attack,warned
attack,well
attack,west
attack,would
attack,wrote
attack,year
attack,yet
attack,yousafzai
attack,youtube
gun,according
gun,advocates
gun,alibi
gun,another
gun,anywhere
gun,apartment
gun,arrest
gun,authorities
gun,ban
gun,battle
gun,battles
gun,belt
gun,bill
gun,brooklyn
gun,bullet
gun,buyers
gun,car
gun,carrying
gun,cellphone
gun,charges
gun,control
gun,controls
gun,countries
gun,covering
gun,crouched
gun,dealer
gun,deaths
gun,debate
gun,fired
gun,found
gun,free
gun,grand
gun,greek
gun,group
gun,gun
gun,head
gun,helped
gun,holding
gun,holster
gun,increased
gun,industry
gun,issues
gun,jacket
gun,know
gun,late
