Word,Count
gun,4715
attack,4507
shooting,3438
violence,1398
amp,1098
school,918
come,913
like,771
survivor,728
people,723
one,695
mass,695
control,686
police,684
parkland,682
hogg,667
kayajones,624
david,602
survived,551
heart,537
laura,525
victims,505
stallone,503
ted,498
nugent,496
ingraham,495
video,492
live,482
get,477
nra,471
attacking,465
week,464
twitter,464
children,458
bus,448
mcgregor,433
kids,433
teenager,425
fully,421
guns,413
conor,412
tonyposnanski,409
time,409
point,404
shootâ,403
frank,400
see,398
would,397
want,383
celebrity,383
